Date,Open,High,Low,Close,Volume
2025-11-24 14:30:00+00:00,179.5,180.8699951171875,176.47999572753906,178.0,43370401
2025-11-24 15:30:00+00:00,178.00860595703125,182.32000732421875,177.67999267578125,182.08999633789062,24840299
2025-11-24 16:30:00+00:00,182.05999755859375,183.1300048828125,181.61000061035156,182.47000122070312,17332798
2025-11-24 17:30:00+00:00,182.46499633789062,183.3699951171875,181.8350067138672,182.10000610351562,12407053
2025-11-24 18:30:00+00:00,182.09500122070312,182.55999755859375,181.27999877929688,181.8699951171875,12475956
2025-11-24 19:30:00+00:00,181.87620544433594,182.47999572753906,181.08399963378906,181.6699981689453,13511330
2025-11-24 20:30:00+00:00,181.6699981689453,183.47999572753906,181.2100067138672,182.5500030517578,65119838
2025-11-25 14:30:00+00:00,174.91000366210938,175.0,169.5500030517578,171.0749969482422,79887076
2025-11-25 15:30:00+00:00,171.07000732421875,174.8800048828125,171.0281982421875,174.7238006591797,33770896
2025-11-25 16:30:00+00:00,174.72000122070312,175.99000549316406,174.13009643554688,175.53500366210938,22733351
2025-11-25 17:30:00+00:00,175.52999877929688,176.47999572753906,175.07020568847656,176.2050018310547,16279741
2025-11-25 18:30:00+00:00,176.2050018310547,176.83999633789062,174.33999633789062,174.77499389648438,17449279
2025-11-25 19:30:00+00:00,174.77999877929688,176.97000122070312,173.6199951171875,176.84170532226562,23100143
2025-11-25 20:30:00+00:00,176.84500122070312,178.16000366210938,176.7100067138672,177.8000030517578,15031963
2025-11-26 14:30:00+00:00,181.6300048828125,182.91000366210938,178.24000549316406,179.5850067138672,45946959
2025-11-26 15:30:00+00:00,179.5850067138672,181.11000061035156,179.5850067138672,180.91000366210938,16924615
2025-11-26 16:30:00+00:00,180.9199981689453,181.72999572753906,180.125,180.77999877929688,14050216
2025-11-26 17:30:00+00:00,180.78030395507812,181.5,180.38999938964844,180.80999755859375,11563205
2025-11-26 18:30:00+00:00,180.80999755859375,180.84500122070312,179.793701171875,180.5500030517578,10619635
2025-11-26 19:30:00+00:00,180.5500030517578,180.75999450683594,179.92999267578125,180.50999450683594,10611517
2025-11-26 20:30:00+00:00,180.5050048828125,180.75,179.875,180.19000244140625,9278599
2025-11-28 14:30:00+00:00,178.7895965576172,179.2899932861328,176.97000122070312,177.2899932861328,30011592
2025-11-28 15:30:00+00:00,177.24000549316406,178.0800018310547,176.75,177.08140563964844,17490994
2025-11-28 16:30:00+00:00,177.0850067138672,177.33999633789062,176.53140258789062,177.1342010498047,14456367
2025-12-01 14:30:00+00:00,174.6999969482422,179.13999938964844,173.67999267578125,178.86000061035156,41192309
2025-12-01 15:30:00+00:00,178.85000610351562,180.00999450683594,178.22000122070312,178.9600067138672,19055485
2025-12-01 16:30:00+00:00,178.94000244140625,180.0800018310547,178.8300018310547,179.8350067138672,13512472
2025-12-01 17:30:00+00:00,179.8350067138672,180.3000030517578,179.1699981689453,179.40499877929688,11026020
2025-12-01 18:30:00+00:00,179.41000366210938,179.9853973388672,178.86000061035156,179.08999633789062,9463328
2025-12-01 19:30:00+00:00,179.08999633789062,179.47999572753906,178.62489318847656,179.37989807128906,10803646
2025-12-01 20:30:00+00:00,179.3800048828125,180.0,179.22000122070312,179.99000549316406,9755933
