Date,Open,High,Low,Close,Volume
2024-01-29,263.0762795215016,275.90637373982537,262.8200619634722,273.1373596191406,31176500
2024-02-05,273.3541999974311,275.58124821322644,270.03335522625997,272.3983459472656,24536700
2024-02-12,272.9062715691783,277.53648939592375,269.28307083383675,275.0091247558594,24853900
2024-02-19,271.07003196666545,282.3049746227372,269.8557000713772,279.98492431640625,21135200
2024-02-26,279.43204107631277,282.4826486142859,277.95116187563275,279.5505065917969,22950300
2024-03-04,279.2049552226564,279.3925356604167,272.6397302867374,276.47027587890625,26280700
2024-03-11,275.88780346253475,285.3555540773183,274.44639270050993,279.4320373535156,33716000
2024-03-18,280.2514101053547,287.2510279075651,279.2839217727836,279.6492004394531,30597500
2024-03-25,279.402448709592,280.5081671205561,273.4493150163821,275.52252197265625,28306700
2024-04-01,276.7861945404118,277.30946747429,270.0728872124173,273.6072692871094,24943600
2024-04-08,272.72860302563726,274.456295533492,268.7104766479421,272.4422912597656,35273000
2024-04-15,274.3477004865314,274.36743469663895,264.8700673931359,266.341064453125,40582700
2024-04-22,267.49616025756205,279.3925445371343,265.9264017804179,271.0206298828125,36614100
2024-04-29,268.8486691721408,270.97125650414637,263.10285108457947,265.0674743652344,25548600
2024-05-06,266.2127456133262,277.44768873781805,266.1337786357738,277.161376953125,37300700
2024-05-13,277.87212915524117,278.78041487178064,270.77378001973426,276.52947998046875,66862200
2024-05-20,276.1708507899171,277.2093724604116,270.04844468304367,271.49249267578125,26697200
2024-05-27,271.235432212467,271.4629013053554,265.3306231232565,269.4847412109375,25493700
2024-06-03,270.10783959001174,277.2687687601898,265.132768655025,275.6269226074219,23774000
2024-06-10,275.10267356780275,275.5180701858794,266.32951027512337,267.704345703125,34893500
2024-06-17,266.0625207838766,275.0038124618309,266.0625207838766,272.214599609375,40724800
2024-06-24,272.31347243400205,277.32811453408743,258.3971116548964,259.6037902832031,79133800
2024-07-01,260.90942116090326,267.5955814229864,258.44659144019346,267.40765380859375,29657800
2024-07-08,267.29883358169394,268.4758410360779,255.68704562273402,262.83807373046875,40059300
2024-07-15,262.76885520875567,270.63202185114534,261.4236909262348,262.5611267089844,32430500
2024-07-22,264.31181765735806,265.4690241719634,249.94047363496114,256.62664794921875,42124200
2024-07-29,257.47726514961,265.0338192539978,255.75624574306676,263.66888427734375,33940000
2024-08-05,258.59494830120394,260.0488969411811,251.73071638458677,256.92340087890625,59578500
2024-08-12,258.1719887147281,266.0410337078093,256.4277076346945,264.9905090332031,59836300
2024-08-19,265.030177413888,267.0915758978688,262.8597462328291,265.04998779296875,28121800
2024-08-26,265.3274258295968,274.5145702762254,265.27788477039,273.9001159667969,28522600
2024-09-02,273.90016212104695,279.56904546353445,273.90016212104695,276.87335205078125,27020900
2024-09-09,279.569070813434,286.1596363729736,275.81293205972355,284.7820739746094,31678500
2024-09-16,285.4757533465411,290.4509101534491,280.3420530371662,282.2250671386719,53677600
2024-09-23,282.35393372614413,286.2983766265934,265.8329251242963,272.7109069824219,47929200
2024-09-30,272.5424196872588,276.5661344455988,270.75851776542885,275.44622802734375,23789100
2024-10-07,275.1191796315379,276.308437451122,270.7981278926155,275.3570251464844,21636200
2024-10-14,276.58594757280724,288.43908706492255,275.5056921461491,288.0228271484375,33413000
2024-10-21,287.01191239934036,287.84440186848855,278.2707276060107,279.2122497558594,26443400
