Date,Open,High,Low,Close,Volume
2021-04-01,178.02859548508314,228.1056758446003,170.17634975536575,218.71920776367188,219557200
2021-07-01,219.6761685373304,264.0497799321361,210.76507689986857,221.1501922607422,165684000
2021-10-01,221.8162515217634,272.61312750289903,215.30580167524496,265.23846435546875,189203000
2022-01-01,264.3560424054784,284.5095492584167,223.37463446570803,275.8778381347656,182385600
2022-04-01,276.8166137884599,320.0586416737704,267.8005979820532,313.6545715332031,192036200
2022-07-01,314.37176978045113,331.668630208875,287.6208587114739,313.8573303222656,173809900
2022-10-01,317.4528198335106,365.42278662261646,308.74694213983526,356.25921630859375,178588200
2023-01-01,357.6631484782898,360.33882561446813,301.9424641698126,335.3592529296875,197507900
2023-04-01,336.26790772618773,460.3257331801048,335.34699913971053,459.4538269042969,188327600
2023-07-01,457.9772718086658,591.1488178089137,426.6242920129546,527.5883178710938,175991000
2023-10-01,527.6167544416237,620.105418336133,508.4811584497561,573.7921752929688,204362900
2024-01-01,572.3770983184152,789.6972325907033,571.0359351659876,767.1930541992188,197399500
2024-04-01,766.6015238497409,904.4514720375258,709.6003417826548,894.41455078125,166681800
2024-07-01,902.2625172709561,962.3889506765257,739.7548935845867,876.7018432617188,209605600
2024-10-01,880.7906347660088,928.5249247970977,704.9654793700329,765.017333984375,235551800
2025-01-01,774.8108136570111,928.7029303788322,719.6422914073335,819.7952270507812,219679400
2025-04-01,813.9396840828585,897.3620654691344,673.2353518089475,775.0921630859375,255866300
2025-07-01,776.6809795967756,817.2222061864006,621.5002193619079,760.2113647460938,285395700
2025-10-01,762.1806726849444,1110.359350622235,762.1806726849444,1073.1041259765625,231514300
2026-01-01,1076.4000244140625,1133.949951171875,1012.5700073242188,1080.969482421875,41251718
