Date,Open,High,Low,Close,Volume
2024-01-29,42030.9140625,43838.9453125,41818.33203125,42583.58203125,135184187433
2024-02-05,42577.62109375,48535.9375,42264.81640625,48293.91796875,157826395448
2024-02-12,48296.38671875,52820.06640625,47745.76171875,52122.546875,213560041471
2024-02-19,52134.8125,52945.05078125,50561.77734375,51733.23828125,160769145627
2024-02-26,51730.5390625,63913.1328125,50931.03125,63167.37109375,322895666089
2024-03-04,63137.00390625,70083.0546875,59323.91015625,69019.7890625,405709693297
2024-03-11,69020.546875,73750.0703125,64545.31640625,68390.625,405957750577
2024-03-18,68371.3046875,68897.1328125,60807.78515625,67234.171875,328097121682
2024-03-25,67234.09375,71727.6875,66414.8359375,71333.6484375,216324625836
2024-04-01,71333.484375,71342.09375,64559.8984375,69362.5546875,229427260104
2024-04-08,69362.5546875,72715.359375,60919.10546875,65738.7265625,288243675431
2024-04-15,65739.6484375,66878.6484375,59651.390625,64926.64453125,257889555865
2024-04-22,64935.6328125,67233.9609375,62424.71875,63113.23046875,176031088174
2024-04-29,63106.36328125,64703.33203125,56555.29296875,64031.1328125,217717011805
2024-05-06,64038.3125,65494.90234375,60208.78125,61448.39453125,161617857129
2024-05-13,61451.21875,67694.296875,60769.83984375,66278.3671875,191456349028
2024-05-20,66278.7421875,71946.4609375,66086.171875,68518.09375,225779718034
2024-05-27,68512.1796875,70597.8828125,66633.421875,67751.6015625,170949409910
2024-06-03,67753.8984375,71907.8515625,67589.8359375,69647.9921875,187569500742
2024-06-10,69644.3125,70146.0703125,65056.89453125,66639.046875,175973271622
2024-06-17,66636.515625,67188.3203125,63180.796875,63180.796875,163449015388
2024-06-24,63173.3515625,63292.52734375,58601.69921875,62678.29296875,171030093873
2024-07-01,62673.60546875,63777.2265625,53717.375,55849.109375,213107531443
2024-07-08,55849.57421875,61329.52734375,54321.01953125,60787.79296875,187407019962
2024-07-15,60815.45703125,68372.90625,60704.9296875,68154.5234375,222161876179
2024-07-22,68152.9765625,69398.5078125,63473.47265625,68255.8671875,227265184992
2024-07-29,68259.0546875,69987.5390625,57210.8046875,58116.9765625,251002338760
2024-08-05,58110.296875,62673.765625,49121.23828125,58719.484375,317158734647
2024-08-12,58719.39453125,61687.7578125,56161.59375,58483.96484375,193731393138
2024-08-19,58480.7109375,64996.421875,57864.7109375,64333.54296875,200670274120
2024-08-26,64342.2265625,64489.70703125,57217.82421875,57325.48828125,208589155271
2024-09-02,57326.96875,59815.05859375,52598.69921875,54841.56640625,207052844168
2024-09-09,54851.88671875,60656.72265625,54598.43359375,59182.8359375,201400392020
2024-09-16,59185.2265625,64119.53125,57501.33984375,63648.7109375,223578476939
2024-09-23,63643.1015625,66480.6953125,62628.078125,65635.3046875,185380794223
2024-09-30,65634.65625,65635.0546875,59878.8046875,62818.953125,221870167581
2024-10-07,62819.109375,64443.70703125,58895.20703125,62851.375,185760615870
2024-10-14,62848.3984375,69359.0078125,62442.15234375,69001.703125,233833427420
2024-10-21,69002.0,69462.734375,65188.03515625,67929.296875,210764883686
2024-10-28,67922.671875,73577.2109375,67482.5234375,68741.1171875,281658996077
2024-11-04,68742.1328125,81474.421875,66803.6484375,80474.1875,436048950363
2024-11-11,80471.4140625,93434.3515625,80283.25,89845.8515625,631742325166
2024-11-18,89843.71875,99655.5,89393.59375,98013.8203125,502412531238
2024-11-25,98033.4453125,98935.03125,90770.8125,97279.7890625,419153048682
2024-12-02,97276.0078125,103900.46875,91998.78125,101236.015625,549005393438
2024-12-09,101237.0625,105047.5390625,94321.2578125,104298.6953125,521429282524
2024-12-16,104293.578125,108268.4453125,92175.1796875,95104.9375,551244500231
2024-12-23,95099.390625,99884.5703125,92403.1328125,93530.2265625,299272588112
2024-12-30,93527.1953125,98956.9140625,91317.1328125,98314.9609375,248821817930
2025-01-06,98314.953125,102712.484375,91220.84375,94488.4375,338967010865
2025-01-13,94488.890625,106299.796875,89260.1015625,101089.609375,437782936416
2025-01-20,101083.75,109114.8828125,99471.359375,102682.5,471816874719
2025-01-27,102680.3046875,106418.765625,96216.078125,97688.9765625,362117614322
2025-02-03,97681.1015625,102514.171875,91242.890625,96500.09375,388753129798
2025-02-10,96499.4609375,98819.46875,94101.203125,96175.03125,230337481014
2025-02-17,96179.0078125,99497.96875,93388.8359375,96273.921875,210283176728
2025-02-24,96277.9609375,96503.453125,78248.9140625,94248.3515625,424642208809
2025-03-03,94248.421875,94429.75,80052.484375,80601.0390625,351467410238
2025-03-10,80597.1484375,85263.2890625,76624.25,82579.6875,245099235090
2025-03-17,82576.3359375,87443.265625,81179.9921875,86054.375,154637791297
2025-03-24,86070.9296875,88758.7265625,81573.25,82334.5234375,181637739548
2025-03-31,82336.0625,88466.953125,77097.7421875,78214.484375,237449686690
2025-04-07,78221.3359375,86015.1875,74436.6796875,83684.9765625,363220466107
2025-04-14,83694.5234375,86429.3515625,83100.6171875,85174.3046875,155677486406
2025-04-21,85171.5390625,95768.390625,85143.8359375,93754.84375,247116398033
2025-04-28,93755.3046875,97905.8984375,92860.8046875,94315.9765625,179785916926
2025-05-05,94319.5625,104961.765625,93399.859375,104106.359375,346007588371
2025-05-12,104106.9609375,106597.171875,100814.40625,106446.0078125,344395798973
2025-05-19,106430.53125,111970.171875,102112.6875,109035.390625,407490594865
2025-05-26,109023.78125,110744.2109375,103136.1171875,105652.1015625,342628955292
2025-06-02,105649.8125,106813.578125,100436.8828125,105793.6484375,317888289963
2025-06-09,105793.0234375,110561.421875,102822.0234375,105552.0234375,360592444302
2025-06-16,105555.59375,108915.375,98286.203125,100987.140625,345832029969
2025-06-23,100987.4765625,108526.3046875,99705.75,108385.5703125,320503132421
2025-06-30,108383.4375,110541.4609375,105157.3984375,109232.0703125,302896897483
2025-07-07,109235.328125,119449.5703125,107499.5546875,119116.1171875,425010937713
2025-07-14,119115.7890625,123091.609375,115765.6875,117300.7890625,607619761231
2025-07-21,117306.46875,120269.96875,114759.8203125,119448.4921875,496322967466
2025-07-28,119457.5234375,119819.7890625,111943.8046875,114217.671875,467817557243
2025-08-04,114223.921875,119320.7109375,112701.109375,119306.7578125,395725770752
2025-08-11,119306.8125,124457.1171875,116864.5703125,117453.0625,520847323413
2025-08-18,117453.90625,117614.171875,111060.546875,113458.4296875,482123824127
2025-08-25,113456.8984375,113637.84375,107444.4453125,108236.7109375,453416228500
