Date,Open,High,Low,Close,Volume
2026-01-22 16:02:00+00:00,89060.7734375,89060.7734375,89060.7734375,89060.7734375,221605888
2026-01-22 16:03:00+00:00,89005.78125,89005.78125,89005.78125,89005.78125,9179136
2026-01-22 16:04:00+00:00,89035.4609375,89035.4609375,89035.4609375,89035.4609375,0
2026-01-22 16:05:00+00:00,89051.015625,89051.015625,89051.015625,89051.015625,40615936
2026-01-22 16:06:00+00:00,88969.171875,88969.171875,88969.171875,88969.171875,58597376
2026-01-22 16:07:00+00:00,88977.703125,88977.703125,88977.703125,88977.703125,482582528
2026-01-22 16:08:00+00:00,88876.0,88876.0,88876.0,88876.0,0
2026-01-22 16:09:00+00:00,88820.3828125,88820.3828125,88820.3828125,88820.3828125,97579008
2026-01-22 16:10:00+00:00,88823.9296875,88823.9296875,88823.9296875,88823.9296875,0
2026-01-22 16:11:00+00:00,88808.21875,88808.21875,88808.21875,88808.21875,212992
2026-01-22 16:12:00+00:00,88692.234375,88692.234375,88692.234375,88692.234375,0
2026-01-22 16:13:00+00:00,88846.015625,88846.015625,88846.015625,88846.015625,0
2026-01-22 16:14:00+00:00,88765.5859375,88765.5859375,88765.5859375,88765.5859375,1503232
2026-01-22 16:15:00+00:00,88748.2109375,88748.2109375,88748.2109375,88748.2109375,0
2026-01-22 16:16:00+00:00,88729.9765625,88729.9765625,88729.9765625,88729.9765625,135163904
2026-01-22 16:17:00+00:00,88731.1640625,88731.1640625,88731.1640625,88731.1640625,103972864
2026-01-22 16:18:00+00:00,88660.84375,88660.84375,88660.84375,88660.84375,0
2026-01-22 16:19:00+00:00,88648.4296875,88648.4296875,88648.4296875,88648.4296875,181420032
2026-01-22 16:20:00+00:00,88660.40625,88660.40625,88660.40625,88660.40625,14299136
2026-01-22 16:21:00+00:00,88664.78125,88664.78125,88664.78125,88664.78125,0
2026-01-22 16:22:00+00:00,88715.7734375,88715.7734375,88715.7734375,88715.7734375,0
2026-01-22 16:23:00+00:00,89039.1640625,89039.1640625,89039.1640625,89039.1640625,7102464
2026-01-22 16:24:00+00:00,89005.1640625,89005.1640625,89005.1640625,89005.1640625,1064960
2026-01-22 16:25:00+00:00,88988.8359375,88988.8359375,88988.8359375,88988.8359375,0
2026-01-22 16:26:00+00:00,89041.3828125,89041.3828125,89041.3828125,89041.3828125,0
2026-01-22 16:27:00+00:00,89002.0546875,89002.0546875,89002.0546875,89002.0546875,175558656
2026-01-22 16:28:00+00:00,89006.71875,89006.71875,89006.71875,89006.71875,95825920
2026-01-22 16:29:00+00:00,89004.9375,89004.9375,89004.9375,89004.9375,0
2026-01-22 16:30:00+00:00,88880.3125,88880.3125,88880.3125,88880.3125,118317056
2026-01-22 16:31:00+00:00,89019.8984375,89019.8984375,89019.8984375,89019.8984375,0
2026-01-22 16:32:00+00:00,88995.6328125,88995.6328125,88995.6328125,88995.6328125,2891776
2026-01-22 16:33:00+00:00,88923.9453125,88923.9453125,88923.9453125,88923.9453125,0
2026-01-22 16:34:00+00:00,88750.5078125,88750.5078125,88750.5078125,88750.5078125,91353088
2026-01-22 16:35:00+00:00,88739.2109375,88739.2109375,88739.2109375,88739.2109375,0
2026-01-22 16:36:00+00:00,88712.4765625,88712.4765625,88712.4765625,88712.4765625,114487296
2026-01-22 16:37:00+00:00,88768.484375,88768.484375,88768.484375,88768.484375,0
2026-01-22 16:38:00+00:00,88808.1328125,88808.1328125,88808.1328125,88808.1328125,0
2026-01-22 16:39:00+00:00,88921.5703125,88921.5703125,88921.5703125,88921.5703125,0
2026-01-22 16:40:00+00:00,88830.015625,88830.015625,88830.015625,88830.015625,0
2026-01-22 16:41:00+00:00,88797.3671875,88797.3671875,88797.3671875,88797.3671875,0
2026-01-22 16:42:00+00:00,88786.6171875,88786.6171875,88786.6171875,88786.6171875,0
2026-01-22 16:43:00+00:00,88824.6796875,88824.6796875,88824.6796875,88824.6796875,0
2026-01-22 16:44:00+00:00,88865.703125,88865.703125,88865.703125,88865.703125,132546560
2026-01-22 16:45:00+00:00,88874.265625,88874.265625,88874.265625,88874.265625,0
2026-01-22 16:46:00+00:00,88951.359375,88951.359375,88951.359375,88951.359375,0
2026-01-22 16:47:00+00:00,88964.9453125,88964.9453125,88964.9453125,88964.9453125,0
2026-01-22 16:48:00+00:00,89046.2109375,89046.2109375,89046.2109375,89046.2109375,0
2026-01-22 16:49:00+00:00,89120.75,89120.75,89120.75,89120.75,5468160
2026-01-22 16:50:00+00:00,89039.4140625,89039.4140625,89039.4140625,89039.4140625,0
2026-01-22 16:51:00+00:00,88988.484375,88988.484375,88988.484375,88988.484375,0
2026-01-22 16:53:00+00:00,89000.78125,89000.78125,89000.78125,89000.78125,0
2026-01-22 16:54:00+00:00,88891.4765625,88891.4765625,88891.4765625,88891.4765625,101363712
2026-01-22 16:55:00+00:00,88909.484375,88909.484375,88909.484375,88909.484375,74432512
2026-01-22 16:56:00+00:00,88874.6953125,88874.6953125,88874.6953125,88874.6953125,568324096
2026-01-22 16:57:00+00:00,88856.71875,88856.71875,88856.71875,88856.71875,40206336
2026-01-22 16:58:00+00:00,88928.8515625,88928.8515625,88928.8515625,88928.8515625,0
